,True Label,RF Time
552,3,3
553,3,2
554,3,2
555,3,3
556,3,3
557,3,3
558,3,3
559,3,3
560,3,3
561,3,3
562,3,3
563,3,3
564,3,3
565,3,3
566,3,3
567,3,3
568,3,3
569,3,5
570,3,3
571,3,3
572,3,5
573,3,5
574,3,5
575,3,5
576,3,5
577,3,3
578,3,3
579,3,3
580,3,3
581,3,3
582,3,3
583,3,3
584,3,3
585,3,3
586,3,2
587,3,2
588,3,2
589,3,3
590,3,3
591,3,3
592,3,3
593,3,3
594,3,3
595,3,3
596,3,3
597,3,5
598,3,5
599,3,5
600,3,3
601,3,5
602,3,3
603,3,3
604,3,5
605,3,3
606,3,3
607,3,3
608,3,3
609,3,3
610,3,3
611,3,3
612,3,3
613,3,3
614,3,3
615,3,3
616,3,3
617,3,3
618,3,2
619,3,2
620,3,2
621,3,2
622,3,2
623,3,3
624,3,3
625,3,2
626,3,5
627,3,3
628,3,3
629,3,3
630,3,3
631,3,3
632,3,3
633,3,5
634,3,5
635,3,2
636,3,3
637,3,4
638,3,3
639,3,5
640,3,5
641,3,5
642,3,3
643,3,3
644,3,3
645,3,3
646,3,3
647,3,2
648,3,2
649,3,2
650,3,2
651,3,2
652,3,2
653,3,2
654,3,2
655,3,2
656,3,2
657,3,2
658,3,3
659,3,2
660,3,2
661,3,2
662,3,3
663,3,3
664,3,3
665,3,3
666,3,3
667,3,3
668,3,2
669,3,3
670,3,3
671,3,3
672,3,3
673,3,3
674,3,3
675,3,5
676,3,5
677,3,5
678,3,5
679,3,3
680,3,3
681,3,3
682,3,3
683,3,3
684,3,3
685,3,3
686,3,3
687,3,2
688,3,1
689,3,2
690,3,2
691,3,2
692,3,2
693,3,3
694,3,3
695,3,2
696,3,3
697,3,3
698,3,3
699,3,3
700,3,3
701,3,3
702,3,3
703,3,3
704,3,3
705,3,3
706,3,3
707,3,3
708,3,3
709,3,3
710,3,3
711,3,5
712,3,5
713,3,3
714,3,3
715,3,3
716,3,3
717,3,3
718,3,3
719,3,3
720,3,3
721,3,2
722,3,2
723,3,2
724,3,2
725,3,2
726,3,3
727,3,3
728,3,3
729,3,3
730,3,3
731,3,3
732,3,3
733,3,3
734,3,3
735,3,3
736,3,3
737,3,3
738,3,2
739,3,2
740,3,2
741,3,2
742,3,2
743,3,2
744,3,2
745,3,2
746,3,2
747,3,3
748,3,3
749,3,2
750,3,3
751,3,3
752,3,3
753,3,3
754,3,3
755,3,2
756,3,2
757,3,2
758,3,1
759,3,1
760,3,2
761,3,2
762,3,2
763,3,2
764,3,2
765,3,3
766,3,3
767,3,3
768,3,3
769,3,3
770,3,3
771,3,3
772,3,3
773,3,2
774,3,3
775,3,3
776,3,5
777,3,3
778,3,3
779,3,5
780,3,5
781,3,3
782,3,3
783,3,3
784,3,3
785,3,3
786,3,3
787,3,3
788,3,2
789,3,2
790,3,2
791,3,2
792,3,2
793,3,2
794,3,2
795,3,3
796,3,3
797,3,3
798,3,3
799,3,3
800,3,3
801,3,3
802,3,3
803,3,3
804,3,3
805,3,3
806,3,3
807,3,3
808,3,3
809,3,3
810,3,3
811,3,3
812,3,3
813,3,3
814,3,5
815,3,5
816,3,5
817,3,3
818,3,3
819,3,3
820,3,3
821,3,3
822,3,2
823,3,3
824,3,3
825,3,3
826,3,3
827,3,3
828,3,3
829,3,3
830,3,3
831,3,3
832,3,2
833,3,1
834,3,2
835,3,2
836,3,3
837,3,3
838,3,3
839,3,3
840,3,3
841,3,3
842,3,3
843,3,3
844,3,3
845,3,3
846,3,3
847,3,3
